TYPE,URL,IP
Blackhole,million.skgifts.com:3211/bhadmin.php,188.190.96.219
"Sakura EK 1.1",aefigafac.uni.me/forum/includes/login.php,78.83.177.242
Blackhole,schools.imaginetheways.com/bhadmin.php,37.9.60.189
Blackhole,rulers.parcopropane.org/bhadmin.php,37.9.60.181
Blackhole,gabrielaemanuel.servegame.com/bhadmin.php,37.59.41.146
Blackhole,shelf.invisible-leopard.com/bhadmin.php,37.9.60.127
Blackshades,laidojimopaslaugos.com/index.php,83.125.22.169
Blackshades,teamuprising.net/index.php,93.189.4.34
Blackhole,wildansraail.serveblog.net/bhadmin.php,85.17.188.83
Blackhole,gogokopolo.com/bhadmin.php,31.184.244.23
Blackhole,smoke.theeternalkansascity.com/bhadmin.php,37.9.55.69
Winlock,sagradiana.net/lin/,193.0.146.242
vOlk,winbtservs.com/Strux/Ads/login.php,199.195.158.147
Blackhole,searchlesswebwasher.info/bhadmin.php,78.87.123.114
Blackhole,yeaskews.info/bhadmin.php,5.39.37.226
Blackhole,dfcw.info/bhadmin.php,142.4.46.197
Blackhole,street.mackeford.com/bhadmin.php,37.9.55.249
"Sakura EK 1.1",eiwahdaik.free-eee.info/forum/includes/login.php,78.83.177.243
"Big Boys Game CP",feedbuzz.info/admin/login.php,184.107.233.186
Blackhole,true.thesimplesttruth.com/bhadmin.php,192.162.102.34
SpyEye,route13afjswsww.net/_cp/installer/,46.166.135.177
Blackhole,tent.promoplacer.com/bhadmin.php,37.9.55.232
Blackhole,sraailhafiz.no-ip.info/bhadmin.php,37.59.41.146
BlackEnergy,94.100.26.17/stat/auth.php,
S.A.P.Z,chapita.info/Apoyo/login.php,66.96.199.2
"Sweet Orange",91.235.128.73:8583/aw/index.php?m=stats,
Blackhole,danglesome.ru/panel.php,208.76.52.108
"Sweet Orange",sofialorena.info:8583/aw/index.php?m=stats,178.63.238.179
Blackshades,terrabitnetworks.net/bs/,91.233.20.33
Blackshades,209.235.194.50/helpdocs/farhan/,
Blackhole,vgvfqjfyt.mywww.biz/bhadmin.php,91.217.162.95
Blackhole,ufudf8fjoidiosoi.co.at.nr/panel.php,208.76.52.62
Fragus,184.82.162.163/www/admin1.php,
"Tick Panel",184.82.162.163/ssl/billk/index.php,
"Log parser",184.82.162.163/ppp/index.php,
